Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Afghanistan,Internally displaced Afghans,Population has optimal access to education,2014,"708,391.83","1,453,034.12","2,161,425.95",Extent persons of concern have access to national education systems,28.0,55.0,60.0,,,80.0,,,,,,,,,
Afghanistan,Internally displaced Afghans,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","708,391.83","1,084,344.70","1,792,736.53",# of educational facilities constructed or improved,1.0,2.0,,
Afghanistan,Internally displaced Afghans,,2014,,,,,,,,,,,Involvement of key stakeholders promoted,0.00,"368,689.42","368,689.42",# of months this calendar year during which UNHCR has had an active relationship with the Ministry of Education,,12.0,,
Algeria,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"346,616.22","83,928.56","430,544.78",% of primary school-aged children enrolled in primary education,,,,,,100.0,,,,,,,,,
Algeria,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"346,616.22","83,928.56","430,544.78",Extent persons of concern have access to national education systems,,,,,,80.0,,,,,,,,,
Algeria,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"89,965.44",0.00,"89,965.44",# of children enrolled in primary education,,,,
Armenia,Refugees and asylum seekers,Population has optimal access to education,2014,"61,919.08","81,250.00","143,169.08",Extent persons of concern have access to national education systems,75.0,80.0,90.0,,,80.0,,,,,,,,,
Armenia,Refugees and asylum seekers,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"21,104.77","75,625.00","96,729.77",# of PoC who receive tertiary education scholarships,15.0,50.0,,
Armenia,Refugees and asylum seekers,,2014,,,,,,,,,,,Education monitoring system established,"28,709.54",0.00,"28,709.54",# of education assessments/surveys undertaken,2.0,2.0,,
Armenia,Refugees and asylum seekers,,2014,,,,,,,,,,,Lifelong learning opportunities provided or supported,"12,104.77","5,625.00","17,729.77",# of education programmes with life skills initiatives,6.0,10.0,,
Bosnia and Herzegovina,Refugees and asylum seekers,Population has optimal access to education,2014,"49,755.72",0.00,"49,755.72",% of primary school-aged children enrolled in primary education,100.0,100.0,100.0,,,100.0,,,,,,,,,
Bosnia and Herzegovina,Refugees and asylum seekers,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"49,755.72",0.00,"49,755.72",% of primary school graduates (successful completion of final grade),99.0,99.0,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2014,"265,966.43","166,324.56","432,290.99",% of children aged 3-5 yrs enrolled in early childhood education,81.0,95.0,100.0,,,80.0,,,,,,,,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2014,"265,966.43","166,324.56","432,290.99",% of primary school-aged children enrolled in primary education,86.0,95.0,100.0,,,100.0,,,,,,,,,
