Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Afghanistan,Internally displaced Afghans,Population has optimal access to education,2013,"541,935.42","380,184.61","922,120.03",% of persons of concern aged 6-13 yrs enrolled in primary education,25.0,25.0,28.0,,,100.0,,,,,,,,,
Afghanistan,Internally displaced Afghans,,2013,,,,,,,,,,,Educational facilities constructed,"541,935.42","380,184.61","922,120.03",# of educational facilities constructed and accessible for children with disabilities,3.0,5.0,,
Algeria,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"311,224.91","203,468.54","514,693.45",% of persons of concern aged 14-17 enrolled in secondary education,100.0,100.0,100.0,,100.0,80.0,,,,,,,,,
Algeria,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"311,224.91","203,468.54","514,693.45",% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,100.0,100.0,,,100.0,,,,,,,,,
Algeria,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"311,224.91","203,468.54","514,693.45",% of youths aged 15-24 enrolled in certified training,50.0,30.0,50.0,,,50.0,,,,,,,,,
Algeria,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Primary education provided or supported,"79,626.86","156,484.27","236,111.13",# of children enrolled in primary education,,,,
Angola,Refugees and asylum seekers,Population has optimal access to education,2013,"181,901.27","196,020.50","377,921.77",% of persons of concern aged 6-13 yrs enrolled in primary education,60.0,65.0,70.0,,,100.0,,,,,,,,,
Angola,Refugees and asylum seekers,,2013,,,,,,,,,,,Educational facilities constructed,"181,901.27","75,340.17","257,241.44",# of children per classroom,35.0,30.0,,
Angola,Refugees and asylum seekers,,2013,,,,,,,,,,,Local/ foreign language training/ cultural orientation provided,0.00,"120,680.33","120,680.33",# of students attending language of instruction training,100.0,100.0,,
Armenia,Refugees and asylum seekers,Population has optimal access to education,2013,"55,048.94","36,197.60","91,246.54",% of children aged 3-5 yrs enrolled in early childhood education,50.0,65.0,80.0,,,80.0,,,,,,,,,
Armenia,Refugees and asylum seekers,Population has optimal access to education,2013,"55,048.94","36,197.60","91,246.54",% of persons of concern aged 14-17 enrolled in secondary education,80.0,100.0,100.0,,,80.0,,,,,,,,,
Armenia,Refugees and asylum seekers,Population has optimal access to education,2013,"55,048.94","36,197.60","91,246.54",% of persons of concern aged 6-13 yrs enrolled in primary education,90.0,100.0,100.0,,,100.0,,,,,,,,,
Armenia,Refugees and asylum seekers,Population has optimal access to education,2013,"55,048.94","36,197.60","91,246.54",Extent refugee qualifications recognized,65.0,75.0,85.0,,,100.0,,,,,,,,,
Armenia,Refugees and asylum seekers,,2013,,,,,,,,,,,Local/ foreign language training/ cultural orientation provided,"15,728.27",0.00,"15,728.27",# of students attending language of instruction training,25.0,25.0,,
Armenia,Refugees and asylum seekers,,2013,,,,,,,,,,,Measures ensuring recognition of school certificates put in place,"15,728.27",0.00,"15,728.27",Advocacy for school certificates to be recognized by national authorities conducted (yes/no),100.0,100.0,,
Armenia,Refugees and asylum seekers,,2013,,,,,,,,,,,Measures to increase retention rate implemented,"15,728.27",0.00,"15,728.27",# of children completing primary education,50.0,50.0,,
Armenia,Refugees and asylum seekers,,2013,,,,,,,,,,,Measures to increase retention rate implemented,"15,728.27",0.00,"15,728.27",# of children completing secondary education,50.0,50.0,,
Armenia,Refugees and asylum seekers,,2013,,,,,,,,,,,Scholarships (tertiary) provided,"7,864.13","36,197.60","44,061.73",# of scholarships (tertiary) provided,16.0,30.0,,
Bosnia and Herzegovina,Refugees and asylum seekers,Population has optimal access to education,2013,"78,387.65",0.00,"78,387.65",% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,100.0,100.0,,,100.0,,,,,,,,,
Bosnia and Herzegovina,Refugees and asylum seekers,,2013,,,,,,,,,,,Measures to improve education quality and learning achievement implemented,"44,279.35",0.00,"44,279.35",# of children with adequate access to teaching and learning materials,62.0,62.0,,
Bosnia and Herzegovina,Refugees and asylum seekers,,2013,,,,,,,,,,,Vocational training provided,"34,108.30",0.00,"34,108.30",# of persons participating in vocational training,60.0,60.0,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2013,"316,911.20","327,263.81","644,175.01",% of children aged 3-5 yrs enrolled in early childhood education,77.5,80.0,90.0,,,80.0,,,,,,,,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2013,"316,911.20","327,263.81","644,175.01",% of persons of concern aged 14-17 enrolled in secondary education,78.0,80.0,90.0,,,80.0,,,,,,,,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2013,"316,911.20","327,263.81","644,175.01",% of persons of concern aged 6-13 yrs enrolled in primary education,86.0,90.0,98.0,,,100.0,,,,,,,,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2013,"316,911.20","327,263.81","644,175.01",% of youths aged 15-24 enrolled in certified training,3.0,8.0,20.0,,,50.0,,,,,,,,,
Botswana,Refugees and asylum seekers,,2013,,,,,,,,,,,Adult education provided,"18,602.63",0.00,"18,602.63",# of persons regularly attending adult education,100.0,100.0,,
Botswana,Refugees and asylum seekers,,2013,,,,,,,,,,,Early childhood education provided or supported,"84,040.80","25,135.43","109,176.23",# of children attending early childhood education,195.0,210.0,,
Botswana,Refugees and asylum seekers,,2013,,,,,,,,,,,Primary education provided or supported,"55,077.63","38,293.33","93,370.96",# of children enrolled in primary education in the correct grade for their age,420.0,450.0,,
Botswana,Refugees and asylum seekers,,2013,,,,,,,,,,,Scholarships (tertiary) provided,0.00,"23,955.07","23,955.07",# of scholarships (tertiary) provided,,14.0,,
